TICKER,PER,Date,TIME,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
ddam-D1,D1,20180512,000000,342,361,342,342,18915,0
ddam-D1,D1,20180514,000000,344,360,344,360,2191,0
ddam-D1,D1,20180515,000000,341,355,340,340,12050,0
ddam-D1,D1,20180521,000000,339,339,339,339,11509,0
ddam-D1,D1,20180522,000000,356,356,333,333,906,0
ddam-D1,D1,20180523,000000,325,326,325,325,16246,0
ddam-D1,D1,20180526,000000,333,344,321,344,5772,0
ddam-D1,D1,20180527,000000,321,321,321,321,100,0
ddam-D1,D1,20180529,000000,321,321,321,321,40200,0
ddam-D1,D1,20180530,000000,321,321,317,317,43490,0
ddam-D1,D1,20180602,000000,319,338,314,338,13940,0
ddam-D1,D1,20180603,000000,314,338,314,333,3478,0
ddam-D1,D1,20180613,000000,312,321,312,317,8600,0
ddam-D1,D1,20180617,000000,332,332,300,304,191173,0
ddam-D1,D1,20180618,000000,305,310,305,305,18610,0
ddam-D1,D1,20180619,000000,305,305,305,305,35000,0
ddam-D1,D1,20180623,000000,321,321,299,318,96092,0
ddam-D1,D1,20180624,000000,300,314,300,306,7477,0
ddam-D1,D1,20180625,000000,299,313,294,294,75883,0
ddam-D1,D1,20180626,000000,290,303,290,303,22884,0
ddam-D1,D1,20180627,000000,293,301,293,301,2616,0
ddam-D1,D1,20180630,000000,298,304,298,298,4142,0
ddam-D1,D1,20180701,000000,290,290,290,290,1840,0
ddam-D1,D1,20180702,000000,287,310,287,310,65500,0
ddam-D1,D1,20180703,000000,296,303,288,298,23265,0
ddam-D1,D1,20180704,000000,288,297,288,297,1680,0
ddam-D1,D1,20180707,000000,288,297,288,297,5100,0
ddam-D1,D1,20180708,000000,283,293,283,285,19978,0
ddam-D1,D1,20180710,000000,288,288,288,288,19321,0
ddam-D1,D1,20180711,000000,280,281,280,280,94366,0
ddam-D1,D1,20180714,000000,274,274,274,274,206,0
ddam-D1,D1,20180716,000000,274,275,274,275,25473,0
ddam-D1,D1,20180717,000000,298,298,288,288,2580,0
ddam-D1,D1,20180718,000000,272,275,272,272,4726,0
ddam-D1,D1,20180721,000000,272,272,272,272,8500,0
ddam-D1,D1,20180722,000000,271,271,271,271,26073,0
ddam-D1,D1,20180723,000000,270,270,270,270,4000,0
ddam-D1,D1,20180724,000000,269,270,269,270,5022,0
ddam-D1,D1,20180725,000000,276,276,269,269,6398,0
ddam-D1,D1,20180729,000000,270,276,270,276,6390,0
ddam-D1,D1,20180730,000000,269,276,269,276,12489,0
ddam-D1,D1,20180731,000000,288,295,284,295,2000,0
ddam-D1,D1,20180801,000000,295,295,279,279,9050,0
ddam-D1,D1,20180804,000000,279,279,268,268,5832,0
ddam-D1,D1,20180806,000000,282,282,268,268,42520,0
ddam-D1,D1,20180807,000000,266,266,266,266,5050,0
ddam-D1,D1,20180808,000000,267,267,267,267,440,0
ddam-D1,D1,20180811,000000,268,268,267,267,10173,0
ddam-D1,D1,20180812,000000,267,267,267,267,6000,0
ddam-D1,D1,20180814,000000,282,282,270,270,32060,0
ddam-D1,D1,20180815,000000,270,271,270,271,14700,0
ddam-D1,D1,20180818,000000,276,276,276,276,1105,0
ddam-D1,D1,20180819,000000,290,290,290,290,42750,0
ddam-D1,D1,20180820,000000,293,293,292,293,3026962,0
ddam-D1,D1,20180821,000000,308,308,306,308,189259,0
ddam-D1,D1,20180825,000000,321,321,321,321,107732,0
