<TICKER>,<PER>,<DTYYYYMMDD>, <TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
khmotor-D1,D1,20160615,000000,548,570,531,548,610895,0
khmotor-D1,D1,20160618,000000,540,559,540,555,22120,0
khmotor-D1,D1,20160619,000000,534,554,521,521,84408,0
khmotor-D1,D1,20160620,000000,565,565,517,536,64488,0
khmotor-D1,D1,20160621,000000,523,528,514,522,177161,0
khmotor-D1,D1,20160622,000000,527,552,527,552,198445,0
khmotor-D1,D1,20160625,000000,572,572,523,572,197557,0
khmotor-D1,D1,20160626,000000,596,596,596,596,21528,0
khmotor-D1,D1,20160628,000000,599,599,599,599,86958,0
khmotor-D1,D1,20160629,000000,611,611,604,611,1392448,0
khmotor-D1,D1,20160702,000000,614,614,588,604,237972,0
khmotor-D1,D1,20160703,000000,608,608,590,590,29943,0
khmotor-D1,D1,20160704,000000,592,602,587,602,60928,0
khmotor-D1,D1,20160705,000000,622,622,608,622,183411,0
khmotor-D1,D1,20160709,000000,639,650,627,645,724755,0
khmotor-D1,D1,20160710,000000,647,647,615,625,188995,0
khmotor-D1,D1,20160711,000000,639,639,594,609,185269,0
khmotor-D1,D1,20160712,000000,630,630,583,583,180579,0
khmotor-D1,D1,20160713,000000,567,608,567,601,189160,0
khmotor-D1,D1,20160716,000000,569,608,568,568,79027,0
khmotor-D1,D1,20160717,000000,607,607,572,585,42515,0
khmotor-D1,D1,20160718,000000,561,608,561,608,82900,0
khmotor-D1,D1,20160719,000000,596,596,573,573,3200,0
khmotor-D1,D1,20160720,000000,579,595,579,580,99682,0
khmotor-D1,D1,20160723,000000,586,615,586,603,474438,0
khmotor-D1,D1,20160724,000000,622,622,573,610,136685,0
khmotor-D1,D1,20160725,000000,607,607,563,563,398787,0
khmotor-D1,D1,20160726,000000,556,570,548,570,150294,0
khmotor-D1,D1,20160727,000000,548,572,545,566,302842,0
khmotor-D1,D1,20160731,000000,548,564,544,548,217699,0
khmotor-D1,D1,20160801,000000,539,564,539,562,50896,0
khmotor-D1,D1,20160802,000000,560,560,539,545,103429,0
khmotor-D1,D1,20160803,000000,576,577,555,577,433531,0
khmotor-D1,D1,20160806,000000,560,598,560,595,261865,0
khmotor-D1,D1,20160807,000000,568,590,568,575,92819,0
khmotor-D1,D1,20160808,000000,572,573,568,572,37620,0
khmotor-D1,D1,20160809,000000,561,566,561,564,35011,0
khmotor-D1,D1,20160810,000000,556,572,556,557,156626,0
khmotor-D1,D1,20160813,000000,577,594,553,594,590676,0
khmotor-D1,D1,20160814,000000,594,602,574,575,69130,0
khmotor-D1,D1,20160815,000000,561,564,561,561,34873,0
khmotor-D1,D1,20160816,000000,561,565,561,565,36143,0
khmotor-D1,D1,20160817,000000,563,592,563,592,128186,0
khmotor-D1,D1,20160820,000000,592,611,592,611,625508,0
khmotor-D1,D1,20160821,000000,618,637,585,637,831166,0
khmotor-D1,D1,20160822,000000,600,652,600,641,519494,0
khmotor-D1,D1,20160823,000000,657,657,615,622,442555,0
